created_at,entry_id,field1
2023-05-17 17:58:03 +0700,79813,18.90
2023-05-17 17:58:22 +0700,79814,18.40
2023-05-17 17:58:42 +0700,79815,18.90
2023-05-17 17:59:02 +0700,79816,18.60
2023-05-17 17:59:22 +0700,79817,18.60
2023-05-17 17:59:41 +0700,79818,19.20
2023-05-17 18:00:00 +0700,79819,18.80
2023-05-17 18:00:20 +0700,79820,18.70
2023-05-17 18:00:39 +0700,79821,19.50
2023-05-17 18:00:59 +0700,79822,19.80
2023-05-17 18:01:18 +0700,79823,19.40
2023-05-17 18:01:37 +0700,79824,18.90
2023-05-17 18:01:57 +0700,79825,19.40
2023-05-17 18:02:16 +0700,79826,18.80
2023-05-17 18:02:36 +0700,79827,18.60
2023-05-17 18:02:55 +0700,79828,19.00
2023-05-17 18:03:15 +0700,79829,18.70
2023-05-17 18:03:34 +0700,79830,19.40
2023-05-17 18:03:54 +0700,79831,19.40
2023-05-17 18:04:13 +0700,79832,18.90
2023-05-17 18:04:33 +0700,79833,18.00
2023-05-17 18:04:53 +0700,79834,18.70
2023-05-17 18:05:12 +0700,79835,19.90
2023-05-17 18:05:32 +0700,79836,19.40
2023-05-17 18:05:53 +0700,79837,19.60
2023-05-17 18:06:12 +0700,79838,19.10
2023-05-17 18:06:31 +0700,79839,19.00
2023-05-17 18:06:51 +0700,79840,19.10
2023-05-17 18:07:10 +0700,79841,19.60
2023-05-17 18:07:30 +0700,79842,19.40
2023-05-17 18:07:49 +0700,79843,20.10
2023-05-17 18:08:09 +0700,79844,20.10
2023-05-17 18:08:28 +0700,79845,19.40
2023-05-17 18:08:47 +0700,79846,20.20
2023-05-17 18:09:07 +0700,79847,20.20
2023-05-17 18:09:26 +0700,79848,20.20
2023-05-17 18:09:46 +0700,79849,20.20
2023-05-17 18:10:05 +0700,79850,19.70
2023-05-17 18:10:24 +0700,79851,20.80
2023-05-17 18:10:44 +0700,79852,20.10
2023-05-17 18:11:03 +0700,79853,20.70
2023-05-17 18:11:23 +0700,79854,21.10
2023-05-17 18:11:42 +0700,79855,20.50
2023-05-17 18:12:02 +0700,79856,20.90
2023-05-17 18:12:21 +0700,79857,21.50
2023-05-17 18:12:41 +0700,79858,21.70
2023-05-17 18:13:00 +0700,79859,22.30
2023-05-17 18:13:19 +0700,79860,23.00
2023-05-17 18:13:39 +0700,79861,22.30
2023-05-17 18:13:58 +0700,79862,21.80
2023-05-17 18:14:18 +0700,79863,22.30
2023-05-17 18:14:37 +0700,79864,23.30
2023-05-17 18:14:57 +0700,79865,23.90
2023-05-17 18:15:16 +0700,79866,23.50
2023-05-17 18:15:36 +0700,79867,23.60
2023-05-17 18:15:55 +0700,79868,22.90
2023-05-17 18:16:15 +0700,79869,24.00
2023-05-17 18:16:34 +0700,79870,24.40
2023-05-17 18:16:53 +0700,79871,22.70
2023-05-17 18:17:13 +0700,79872,23.00
2023-05-17 18:17:32 +0700,79873,24.80
2023-05-17 18:17:52 +0700,79874,24.00
2023-05-17 18:18:12 +0700,79875,24.40
2023-05-17 18:18:32 +0700,79876,24.50
2023-05-17 18:18:51 +0700,79877,24.20
2023-05-17 18:19:10 +0700,79878,25.30
2023-05-17 18:19:30 +0700,79879,24.80
2023-05-17 18:19:49 +0700,79880,25.30
2023-05-17 18:20:09 +0700,79881,26.90
2023-05-17 18:20:28 +0700,79882,26.40
2023-05-17 18:20:48 +0700,79883,25.80
2023-05-17 18:21:07 +0700,79884,25.50
2023-05-17 18:21:27 +0700,79885,26.90
2023-05-17 18:21:46 +0700,79886,27.70
2023-05-17 18:22:06 +0700,79887,28.60
2023-05-17 18:22:25 +0700,79888,29.10
2023-05-17 18:22:45 +0700,79889,28.90
2023-05-17 18:23:04 +0700,79890,29.80
2023-05-17 18:23:24 +0700,79891,29.80
2023-05-17 18:23:43 +0700,79892,30.00
2023-05-17 18:24:02 +0700,79893,31.30
2023-05-17 18:24:22 +0700,79894,32.10
2023-05-17 18:24:41 +0700,79895,33.50
2023-05-17 18:25:01 +0700,79896,33.30
2023-05-17 18:25:20 +0700,79897,35.20
2023-05-17 18:25:40 +0700,79898,37.00
2023-05-17 18:25:59 +0700,79899,37.90
2023-05-17 18:26:19 +0700,79900,39.60
2023-05-17 18:26:38 +0700,79901,40.50
2023-05-17 18:26:58 +0700,79902,41.50
2023-05-17 18:27:17 +0700,79903,42.90
2023-05-17 18:27:37 +0700,79904,43.50
2023-05-17 18:27:56 +0700,79905,45.30
2023-05-17 18:28:15 +0700,79906,45.80
2023-05-17 18:28:35 +0700,79907,47.00
2023-05-17 18:28:54 +0700,79908,49.10
2023-05-17 18:29:14 +0700,79909,48.10
2023-05-17 18:29:35 +0700,79910,46.50
2023-05-17 18:29:54 +0700,79911,48.60
2023-05-17 18:30:13 +0700,79912,50.50
