field1,field2
11.20,22.60
8.00,14.50
6.20,12.10
5.80,9.80
6.80,11.00
7.70,13.90
16.40,25.10
23.10,31.20
24.70,31.70
10.40,15.90
14.50,20.30
13.50,17.80
12.50,16.40
17.30,22.30
15.80,24.40
14.10,18.20
7.00,10.50
23.40,26.20
9.70,13.20
6.30,10.80
10.40,13.30
13.40,16.90
21.20,25.10
12.00,19.30
5.80,13.20
6.00,9.10
5.70,10.00
5.50,10.20
6.50,12.30
6.50,14.70
6.00,11.40
5.40,9.30
5.30,11.00
5.40,9.40
5.60,10.50
5.50,9.90
5.80,10.40
5.50,8.30
6.00,9.70
5.90,10.90
5.60,12.70
5.80,11.10
6.00,10.00
5.80,10.40
6.10,10.40
6.00,10.70
6.10,12.40
6.10,15.10
6.00,12.40
5.80,10.10
5.80,10.50
6.40,10.70
6.30,9.30
6.70,12.50
6.70,15.60
5.70,11.40
6.40,14.30
6.80,16.50
6.20,13.40
6.10,8.70
5.70,9.30
7.30,11.60
10.50,15.10
12.10,16.40
7.20,10.80
6.40,13.40
5.90,13.10
7.20,16.00
11.00,17.30
8.80,13.80
6.60,13.70
8.60,13.20
7.60,14.30
7.10,17.10
7.30,20.70
7.20,17.30
6.60,16.20
6.00,11.10
5.10,10.00
6.00,10.60
6.30,11.20
5.80,10.70
6.20,10.70
6.20,11.00
5.30,8.10
5.70,9.10
6.20,13.80
6.00,13.60
5.90,10.30
6.10,9.80
5.80,9.40
5.90,9.30
6.00,8.80
6.40,9.50
6.20,11.40
6.50,12.30
6.40,13.10
6.30,13.10
6.20,17.20
6.40,15.40
6.70,11.30
6.60,10.70
6.40,10.20
6.50,10.90
7.30,13.50
7.00,11.10
7.10,11.20
6.30,10.20
6.20,12.30
6.40,12.10
6.60,12.40
7.00,12.40
6.60,11.00
6.50,10.30
6.90,11.40
6.80,13.80
6.60,13.50
